2018rank,City,State,2018estimate,2010Census,Change,2016 land area (Sq.mi),2016 land area (Sq.Km),2016 population density (per Sq.mi),population density (per Sq.Km),Location,Country,Settled,Named for,Type,Body,Mayor,Total (sq.mi),Land (sq.mi),Water (sq.mi),Metro,Elevation (in ft),Estimate,Density (per sq.mi),Demonym,Time zone,Summer ,ZIP Codes,FIPS code,Website,CSA,Incorporated,Urban (sq.mi),Area codes,GNIS feature IDs,Counties,City Area (sq.mi),Commuter Rail,Interstates,State Routes,Founded,City Manager,City Council,Primary Airport
1,New York City,New York,"8,398,748","8,175,133",+2.74%,301.5,780.9,"28,317","10,933",40°39′49″N 73°56′19″W﻿ ,United States,1624,"James, Duke of York",Mayor–Council,New York City Council,Bill de Blasio (D),468.484,302.643,165.841,"13,318",33 ft,"8,398,748","27,751",New Yorker,UTC−05:00 (EST),UTC−04:00 (EDT),"100xx–104xx, 11004–05, 111xx–114xx, 116xx",36-51000,NYC.gov,,,,"212/646/332, 718/347/929, 917",975772,,,,,,,,,
2,Los Angeles,California,"3,990,456","3,792,621",+5.22%,468.7,"1,213.9","8,484","3,276",34°01′10″N 118°24′39″W﻿ ,United States,,"Our Lady, Queen of the Angels",Mayor-Council-Commission,Los Angeles City Council,Eric Garcetti (D),502.76,468.74,34.02,"13,131,431",305 ft,"3,990,456","8,483.02",Angeleno,UTC−08:00 (Pacific),UTC−07:00 (PDT),"List
90001–90084, 90086–90089, 90091, 90093–90097, 90099, 90101–90103, 90174, 90185, 90189, 90291–90293, 91040–91043, 91303–91308, 91311, 91316, 91324–91328, 91330, 91331, 91335, 91340, 91342–91349, 91352–91353, 91356–91357, 91364–91367, 91401–91499, 91504–91505, 91601–91609",06-44000,Official website,Los Angeles-Long Beach,"April 4, 1850","12,150,996","213/323, 310/424, 747/818","1662328, 2410877",Los Angeles,,,,,,,,
3,Chicago,Illinois,"2,705,994","2,695,598",+0.39%,227.3,588.7,"11,900","4,600",41°50′15″N 87°40′54″W﻿ ,United States,1780,Miami-Illinois: shikaakwa(wild onion or wild garlic),Mayor–council,Chicago City Council,Lori Lightfoot (D),,227.34,6.80,"10,874",,"2,705,994","11,898",Chicagoan,UTC−06:00 (Central),UTC−05:00 (Central),,17-14000,www.cityofchicago.org,"9,901,711 (US: 3rd)","August 12, 1833","2,122",312/872 and 773/872,0428803,"Cook, DuPage",234.14,,,,,,,
4,Houston,Texas,"2,325,502","2,100,263",+10.72%,637.5,"1,651.1","3,613","1,395",29°47′12″N 95°23′27″W﻿ ,United States,,Sam Houston,Mayor–council,Houston City Council,Sylvester Turner (D),,599.59,,"1,062",80 ft,"2,328,419","3,660",Houstonian,UTC−6 (CST),UTC−5 (CDT),"770xx, 772xx (P.O. Boxes)",48-35000,houstontx.gov,,"June 5, 1837","4,944,332","713, 281, 832, 346",1380948,"Harris, Fort Bend, Montgomery",637.4,,,,,,,
5,Phoenix,Arizona,"1,660,272","1,445,632",+14.85%,517.6,"1,340.6","3,120","1,200",33°34′20″N 112°05′24″W﻿ ,United States,1867,,Council-Manager,Phoenix City Council,Kate Gallego,,517.64,1.25,"14,565.76","1,086 ft","1,660,272","3,119.94",Phoenician,UTC−7 (MST (no DST)),,85001–85099,04-55000,www.phoenix.gov,,"February 25, 1881","3,629,114","East: 480
Central: 602
West: 623",,Maricopa,,,,,,,,
6,Philadelphia,Pennsylvania,"1,584,138","1,526,006",+3.81%,134.2,347.6,"11,683","4,511",40°00′34″N 75°08′00″W﻿ ,United States,,,"Mayor–council, consolidated city-county",Philadelphia City Council,Jim Kenney (D),,134.28,8.42,"6,096,120",39 ft,"1,580,863","11,797.27",Philadelphian,UTC-5 (EST),UTC-4 (EDT),"19092-19093, 19099, 191xx",42-60000,www.phila.gov,"7,206,807 (US: 8th)","October 25, 1701",,"215, 267, 445",1215531,Philadelphia,,,,,"October 27, 1682",,,
7,San Antonio,Texas,"1,532,233","1,327,407",+15.43%,461.0,"1,194.0","3,238","1,250",29°28′21″N 98°31′30″W﻿ ,United States,,Saint Anthony of Padua,Council-Manager,San Antonio City Council,Ron Nirenberg (I),,460.93,4.5,"2,473,974",650 ft,,"3,241.76",San Antonian,UTC−6 (CST),UTC−5 (CDT),,,www.SanAntonio.gov,,"June 5, 1837",,"210 (majority), 830 (portions), 726",,"Bexar, Medina, Comal",465.4,,,,,Erik Walsh,"List
• Robert C. Treviño• William ""Cruz"" Shaw• Rebecca Viagran• Rey Saldaña• Shirley Gonzales• Greg Brockhouse• Ana Sandoval• Manny Pelaez• John Courage• Clayton Perry",San Antonio International AirportSAT (Major/International)
8,San Diego,California,"1,425,976","1,307,402",+9.07%,325.2,842.3,"4,325","1,670",32°48′55″N 117°08′06″W﻿ ,United States,,Saint Didacus of Alcalá,Strong mayor,San Diego City Council,Kevin Faulconer (R),372.39,325.19,47.20,"3,317,749",62 ft,"1,419,516","4,325.50",San Diegan,UTC−8 (Pacific),UTC−7 (PDT),"92101–92124, 92126–92132, 92134–92140, 92142, 92143, 92145, 92147, 92149–92155, 92158–92161, 92163, 92165–92179, 92182, 92186, 92187, 92190–92199",06-66000,SanDiego.gov,,"March 27, 1850","2,956,746","619, 858","1661377, 2411782",San Diego,,,"Former Routes



Planned Routes",,,,"List
• Barbara BryD-District 1• Jennifer CampbellD-District 2• Chris WardD-District 3• Monica MontgomeryD-District 4• Mark KerseyI-District 5• Chris CateR-District 6• Scott ShermanR-District 7• Vivian MorenoD-District 8• Georgette GomezD-District 9",San Diego International Airport
9,Dallas,Texas,"1,345,047","1,197,816",+12.29%,340.9,882.9,"3,866","1,493",32°47′36″N 96°45′59″W﻿ ,United States,,,Council–Manager,Dallas City Council,Mike Rawlings (D),,340.5,45.3,"7,233,323",430 ft,"1,341,075","3,876",Dallasite,UTC−6 (Central),UTC−5 (Central),"ZIP Codes
75201-75212, 75214-75238, 75240-75254, 75258, 75260-75267, 75270, 75275, 75277, 75283-75287, 75301, 75303, 75310, 75312-75313, 75315, 75320, 75323, 75326, 75334, 75336, 75339-75340, 75342-75344, 75354-75360, 75367-75368, 75370-75374, 75376, 75378-75382, 75387, 75389-75394",48-19000,dallascityhall.com,"7,673,305 (7th)","February 2, 1856","1,407.2","214, 469, 972, 682, 817",1380944,"Dallas, Collin, Denton, Rockwall, Kaufman",385.8,,,,,,,
10,San Jose,California,"1,030,119","945,942",+8.90%,177.5,459.7,"5,777","2,231",37°17′48″N 121°49′08″W﻿ ,United States,,Saint Joseph,Council–manager,San Jose City Council,Sam Liccardo (D),,177.51,3.01,,82 ft,"1,035,317","5,776.3",San Josean(s)  Josefino/a(s),UTC−8 (Pacific Time Zone),UTC−7 (Pacific Daylight Time),"List
95002
95008
95101
95103
95106
95108–95113
95115–95141
95148
95150–95161
95164, 95170
95172
95173
95190–9519
 95196",06-68000,www.sanjoseca.gov,San Jose-San Francisco-Oakland,"March 27, 1850",342.27,408/669,"1654952, 2411790",Santa Clara,180.52,,,,,,,San Jose International Airport
11,Austin,Texas,"964,254","790,390",+22.00%,312.7,809.9,"3,031","1,170",30°18′14″N 97°45′16″W﻿ ,United States,1835,Stephen F. Austin,Council–manager,,Steve Adler (D),,297.9,7.2,"4,285.70","289-1,330 ft","950,71511","3,182",Austinite,UTC−6 (CST),UTC−5 (CDT),"78701–78705, 78708–78739, 78741–78742, 78744–78769",48-05000,www.austintexas.gov,,"December 27, 1839",,512 & 737,1384879,"Hays, Travis, Williamson",,Capital MetroRail,,,,Spencer Cronk ,,Austin–Bergstrom International Airport
12,Jacksonville,Florida,"903,889","821,784",+9.99%,747.4,"1,935.8","1,178",455,30°20′13″N 81°39′42″W﻿ ,United States,,Andrew Jackson,Strong Mayor–Council,Jacksonville City Council,Lenny Curry (R),874.64,747.45,127.19,"1,504,980",16 ft,"892,062","1,178.17",,UTC−5 (Eastern (EST)),UTC−4 (EDT),"32099, 32201–32212, 32214–32241, 32244–32247, 32250, 32254–32260, 32266, 32267, 32277, 32290",12-35000,City of Jacksonville,"1,631,488 (US: 34th)",1832,"1,065,219",904,0295003,Duval,,,,,1822,,,
